Category: All categories

Week,fever: (United States),sore throat: (United States)
2013-05-05,55,19
2013-05-12,52,19
2013-05-19,48,17
2013-05-26,50,19
2013-06-02,47,18
2013-06-09,46,16
2013-06-16,47,16
2013-06-23,47,16
2013-06-30,48,16
2013-07-07,47,15
2013-07-14,48,15
2013-07-21,45,15
2013-07-28,46,14
2013-08-04,47,15
2013-08-11,45,16
2013-08-18,46,16
2013-08-25,46,17
2013-09-01,45,19
2013-09-08,48,18
2013-09-15,46,18
2013-09-22,50,19
2013-09-29,49,18
2013-10-06,46,16
2013-10-13,46,17
2013-10-20,48,17
2013-10-27,49,17
2013-11-03,47,19
2013-11-10,50,20
2013-11-17,50,18
2013-11-24,44,20
2013-12-01,48,20
2013-12-08,52,19
2013-12-15,57,21
2013-12-22,61,27
2013-12-29,64,25
2014-01-05,60,21
2014-01-12,60,20
2014-01-19,59,20
2014-01-26,57,19
2014-02-02,58,21
2014-02-09,57,19
2014-02-16,55,18
2014-02-23,55,19
2014-03-02,54,19
2014-03-09,54,19
2014-03-16,55,19
2014-03-23,57,19
2014-03-30,56,19
2014-04-06,59,20
2014-04-13,54,19
2014-04-20,57,22
2014-04-27,53,20
2014-05-04,53,20
2014-05-11,56,20
2014-05-18,55,21
2014-05-25,52,22
2014-06-01,50,19
2014-06-08,48,17
2014-06-15,49,17
2014-06-22,46,16
2014-06-29,48,17
2014-07-06,48,16
2014-07-13,47,15
2014-07-20,49,15
2014-07-27,50,15
2014-08-03,52,16
2014-08-10,48,15
2014-08-17,48,16
2014-08-24,47,18
2014-08-31,50,19
2014-09-07,49,20
2014-09-14,51,20
2014-09-21,49,19
2014-09-28,52,19
2014-10-05,56,18
2014-10-12,59,19
2014-10-19,55,18
2014-10-26,52,18
2014-11-02,52,20
2014-11-09,50,20
2014-11-16,50,21
2014-11-23,50,22
2014-11-30,55,22
2014-12-07,60,23
2014-12-14,65,24
2014-12-21,68,30
2014-12-28,66,29
2015-01-04,60,24
2015-01-11,60,21
2015-01-18,63,23
2015-01-25,63,22
2015-02-01,65,22
2015-02-08,60,22
2015-02-15,58,24
2015-02-22,64,21
2015-03-01,59,22
2015-03-08,70,21
2015-03-15,70,22
2015-03-22,61,21
2015-03-29,61,21
2015-04-05,61,20
2015-04-12,58,18
2015-04-19,56,20
2015-04-26,56,20
2015-05-03,59,21
2015-05-10,55,20
2015-05-17,54,21
2015-05-24,61,22
2015-05-31,53,19
2015-06-07,54,19
2015-06-14,51,18
2015-06-21,51,17
2015-06-28,51,18
2015-07-05,48,16
2015-07-12,50,16
2015-07-19,49,16
2015-07-26,48,15
2015-08-02,51,16
2015-08-09,51,16
2015-08-16,50,16
2015-08-23,49,17
2015-08-30,49,18
2015-09-06,50,19
2015-09-13,54,19
2015-09-20,54,20
2015-09-27,51,19
2015-10-04,53,19
2015-10-11,53,18
2015-10-18,52,19
2015-10-25,51,18
2015-11-01,56,19
2015-11-08,55,20
2015-11-15,54,20
2015-11-22,53,21
2015-11-29,58,21
2015-12-06,60,21
2015-12-13,65,21
2015-12-20,60,27
2015-12-27,59,27
2016-01-03,59,24
2016-01-10,58,21
2016-01-17,60,21
2016-01-24,63,21
2016-01-31,65,22
2016-02-07,69,23
2016-02-14,71,24
2016-02-21,71,23
2016-02-28,74,23
2016-03-06,74,22
2016-03-13,67,23
2016-03-20,66,25
2016-03-27,64,20
2016-04-03,62,21
2016-04-10,61,22
2016-04-17,60,22
2016-04-24,56,21
2016-05-01,54,21
2016-05-08,57,22
2016-05-15,57,22
2016-05-22,56,22
2016-05-29,55,20
2016-06-05,55,18
2016-06-12,53,18
2016-06-19,49,17
2016-06-26,50,18
2016-07-03,50,17
2016-07-10,50,16
2016-07-17,54,17
2016-07-24,50,16
2016-07-31,49,16
2016-08-07,46,14
2016-08-14,47,16
2016-08-21,50,17
2016-08-28,51,20
2016-09-04,52,20
2016-09-11,52,20
2016-09-18,54,21
2016-09-25,52,20
2016-10-02,50,19
2016-10-09,50,19
2016-10-16,53,18
2016-10-23,53,19
2016-10-30,53,21
2016-11-06,48,20
2016-11-13,54,22
2016-11-20,48,22
2016-11-27,53,22
2016-12-04,51,22
2016-12-11,56,22
2016-12-18,60,27
2016-12-25,63,29
2017-01-01,66,26
2017-01-08,65,22
2017-01-15,64,22
2017-01-22,66,23
2017-01-29,82,26
2017-02-05,77,26
2017-02-12,75,25
2017-02-19,75,25
2017-02-26,63,22
2017-03-05,65,23
2017-03-12,66,22
2017-03-19,76,25
2017-03-26,68,23
2017-04-02,62,23
2017-04-09,62,23
2017-04-16,62,22
2017-04-23,59,22
2017-04-30,56,22
2017-05-07,60,24
2017-05-14,57,24
2017-05-21,56,22
2017-05-28,55,22
2017-06-04,56,20
2017-06-11,57,20
2017-06-18,53,20
2017-06-25,54,20
2017-07-02,53,19
2017-07-09,51,17
2017-07-16,52,17
2017-07-23,53,17
2017-07-30,49,17
2017-08-06,48,16
2017-08-13,50,18
2017-08-20,49,18
2017-08-27,65,20
2017-09-03,63,21
2017-09-10,56,23
2017-09-17,53,21
2017-09-24,54,21
2017-10-01,53,19
2017-10-08,55,19
2017-10-15,57,19
2017-10-22,57,21
2017-10-29,55,22
2017-11-05,55,22
2017-11-12,62,25
2017-11-19,61,27
2017-11-26,63,27
2017-12-03,63,25
2017-12-10,66,27
2017-12-17,83,31
2017-12-24,85,37
2017-12-31,84,33
2018-01-07,86,26
2018-01-14,84,25
2018-01-21,92,28
2018-01-28,95,29
2018-02-04,100,29
2018-02-11,89,27
2018-02-18,77,26
2018-02-25,68,25
2018-03-04,69,25
2018-03-11,63,25
2018-03-18,67,25
2018-03-25,64,25
2018-04-01,62,24
2018-04-08,62,22
2018-04-15,58,23
2018-04-22,60,23
